tm,branch_id,ta,wd,ws,rn_day,rn_hr1,hm,si,ta_chi,heat_demand
2021-01-01 23:00:00,A,-3.1,320.7,1.8,0.0,0.0,49.5,-99.0,-4.9,295
2021-01-02 00:00:00,A,-3.9,319.4,2.9,0.0,0.0,48.3,-99.0,-6.6,286
2021-01-02 01:00:00,A,-4.7,323.9,2.0,0.0,0.0,33.7,-99.0,-6.9,279
2021-01-02 02:00:00,A,-5.8,293.5,1.6,0.0,0.0,37.2,-99.0,-7.9,272
2021-01-02 03:00:00,A,-7.1,11.3,0.7,0.0,0.0,43.0,-99.0,-5.5,264
2021-01-02 04:00:00,A,-7.9,35.8,0.7,0.0,0.0,43.9,-99.0,-6.0,269
2021-01-02 05:00:00,A,-8.3,357.8,0.4,0.0,0.0,38.3,-99.0,-6.4,284
2021-01-02 06:00:00,A,-8.6,34.3,0.5,0.0,0.0,34.3,-99.0,-6.6,285
2021-01-02 07:00:00,A,-8.7,12.7,0.6,0.0,0.0,34.7,-99.0,-7.3,289
2021-01-02 08:00:00,A,-9.3,40.8,0.8,0.0,0.0,38.4,0.0,-7.7,292
2021-01-02 09:00:00,A,-8.3,306.7,0.7,0.0,0.0,34.0,0.3,-7.0,300
2021-01-02 10:00:00,A,-5.7,281.4,1.7,0.0,0.0,26.5,0.88,-8.2,289
2021-01-02 11:00:00,A,-4.2,260.4,1.2,0.0,0.0,24.4,1.46,-7.5,281
2021-01-02 12:00:00,A,-4.0,299.9,3.0,0.0,0.0,25.4,1.81,-6.8,275
2021-01-02 13:00:00,A,-3.1,318.0,3.3,0.0,0.0,24.4,1.95,-6.1,271
2021-01-02 14:00:00,A,-2.0,293.1,2.7,0.0,0.0,24.0,1.87,-5.6,262
2021-01-02 15:00:00,A,-1.9,315.2,3.6,0.0,0.0,26.2,1.57,-6.2,257
2021-01-02 16:00:00,A,-2.4,287.2,2.4,0.0,0.0,27.8,1.05,-5.2,242
2021-01-02 17:00:00,A,-3.0,288.5,3.5,0.0,0.0,31.1,0.41,-6.4,241
2021-01-02 18:00:00,A,-3.8,281.7,2.0,0.0,0.0,40.8,0.04,-6.5,272
2021-01-02 19:00:00,A,-4.1,289.7,2.5,0.0,0.0,45.4,-99.0,-7.4,310
2021-01-02 20:00:00,A,-4.9,317.8,2.2,0.0,0.0,37.9,-99.0,-7.7,325
2021-01-02 21:00:00,A,-5.8,306.2,0.9,0.0,0.0,37.4,-99.0,-7.8,328
2021-01-02 22:00:00,A,-5.7,316.2,2.1,0.0,0.0,35.9,-99.0,-9.1,335
2021-01-02 23:00:00,A,-6.4,317.8,2.2,0.0,0.0,39.4,-99.0,-9.6,312
2021-01-03 00:00:00,A,-7.2,318.1,3.2,0.0,0.0,39.3,-99.0,-11.3,290
2021-01-03 01:00:00,A,-7.9,298.8,1.6,0.0,0.0,45.1,-99.0,-10.8,281
2021-01-03 02:00:00,A,-8.0,295.7,1.8,0.0,0.0,47.7,-99.0,-11.1,275
2021-01-03 03:00:00,A,-8.5,289.9,1.8,0.0,0.0,47.7,-99.0,-11.1,269
2021-01-03 04:00:00,A,-9.2,295.4,1.0,0.0,0.0,49.5,-99.0,-8.0,280
2021-01-03 05:00:00,A,-9.7,359.0,0.6,0.0,0.0,52.6,-99.0,-8.2,281
2021-01-03 06:00:00,A,-9.5,1.6,0.7,0.0,0.0,50.9,-99.0,-8.4,278
2021-01-03 07:00:00,A,-9.5,356.5,0.7,0.0,0.0,54.1,-99.0,-8.4,282
2021-01-03 08:00:00,A,-9.3,322.8,0.5,0.0,0.0,54.8,0.0,-8.6,284
2021-01-03 09:00:00,A,-8.0,303.8,1.0,0.0,0.0,53.3,0.28,-7.4,279
2021-01-03 10:00:00,A,-5.4,316.3,1.8,0.0,0.0,39.4,0.86,-8.1,277
2021-01-03 11:00:00,A,-4.3,124.6,2.0,0.0,0.0,28.5,1.45,-3.9,279
2021-01-03 12:00:00,A,-3.4,287.4,2.7,0.0,0.0,22.5,1.78,-6.1,285
2021-01-03 13:00:00,A,-3.1,291.7,2.8,0.0,0.0,24.2,1.62,-5.6,285
2021-01-03 14:00:00,A,-2.7,98.9,3.1,0.0,0.0,24.1,1.21,-1.9,265
2021-01-03 15:00:00,A,-2.9,320.3,2.5,0.0,0.0,26.4,0.76,-5.5,258
2021-01-03 16:00:00,A,-2.7,283.5,1.4,0.0,0.0,29.0,0.48,-4.4,263
2021-01-03 17:00:00,A,-3.4,300.1,1.8,0.0,0.0,30.5,0.33,-4.7,269
2021-01-03 18:00:00,A,-4.1,285.7,1.1,0.0,0.0,34.3,0.03,-5.4,302
2021-01-03 19:00:00,A,-5.7,306.0,0.6,0.0,0.0,40.4,-99.0,-4.1,338
2021-01-03 20:00:00,A,-6.1,356.3,0.6,0.0,0.0,41.3,-99.0,-4.3,344
2021-01-03 21:00:00,A,-6.1,15.5,0.7,0.0,0.0,41.8,-99.0,-5.1,354
2021-01-03 22:00:00,A,-6.6,4.2,0.5,0.0,0.0,45.0,-99.0,-5.5,342
2021-01-03 23:00:00,A,-6.0,356.0,1.6,0.0,0.0,41.9,-99.0,-8.7,321
2021-01-04 00:00:00,A,-7.2,360.0,0.0,0.0,0.0,43.0,-99.0,-6.0,302
2021-01-04 01:00:00,A,-7.7,6.6,0.7,0.0,0.0,43.6,-99.0,-6.5,322
2021-01-04 02:00:00,A,-7.7,360.0,0.0,0.0,0.0,43.7,-99.0,-6.8,303
2021-01-04 03:00:00,A,-8.0,360.0,0.0,0.0,0.0,46.3,-99.0,-7.2,298
2021-01-04 04:00:00,A,-8.2,358.8,0.2,0.0,0.0,47.4,-99.0,-7.4,304
2021-01-04 05:00:00,A,-8.0,21.2,0.3,0.0,0.0,45.4,-99.0,-7.7,302
2021-01-04 06:00:00,A,-8.0,85.4,1.0,0.0,0.0,39.3,-99.0,-10.7,310
2021-01-04 07:00:00,A,-7.7,66.6,2.1,0.0,0.0,40.1,-99.0,-12.1,320
2021-01-04 08:00:00,A,-7.7,40.9,1.9,0.0,0.0,36.6,0.0,-11.2,368
2021-01-04 09:00:00,A,-6.7,69.4,2.1,0.0,0.0,34.5,0.2,-9.9,383
2021-01-04 10:00:00,A,-4.9,121.2,1.0,0.0,0.0,30.8,0.56,-4.8,379
2021-01-04 11:00:00,A,-3.4,118.0,1.7,0.0,0.0,31.6,1.17,-2.9,355
2021-01-04 12:00:00,A,-2.2,151.2,1.5,0.0,0.0,34.0,1.59,-1.4,344
2021-01-04 13:00:00,A,-1.6,74.0,1.9,0.0,0.0,34.7,1.67,-2.3,331
2021-01-04 14:00:00,A,-0.8,150.2,1.7,0.0,0.0,36.3,1.05,-0.2,316
2021-01-04 15:00:00,A,-0.8,153.9,0.9,0.0,0.0,34.6,0.58,0.0,302
2021-01-04 16:00:00,A,-0.4,134.0,1.6,0.0,0.0,39.8,0.39,0.1,283
2021-01-04 17:00:00,A,-1.1,92.0,0.4,0.0,0.0,46.5,0.2,-0.2,288
2021-01-04 18:00:00,A,-1.4,145.9,0.5,0.0,0.0,50.0,0.03,-0.7,298
2021-01-04 19:00:00,A,-0.9,157.3,1.3,0.0,0.0,49.2,-99.0,-0.6,303
2021-01-04 20:00:00,A,-1.0,141.5,1.0,0.0,0.0,49.0,-99.0,-0.4,316
2021-01-04 21:00:00,A,-0.8,159.6,1.1,0.0,0.0,53.2,-99.0,-0.3,322
2021-01-04 22:00:00,A,-1.4,82.3,2.0,0.0,0.0,49.6,-99.0,-0.5,322
2021-01-04 23:00:00,A,-2.4,85.9,1.6,0.0,0.0,66.8,-99.0,-1.5,292
2021-01-05 00:00:00,A,-3.0,83.7,1.1,0.0,0.0,72.3,-99.0,-4.6,278
2021-01-05 01:00:00,A,-3.2,133.3,0.2,0.0,0.0,75.2,-99.0,-2.6,268
2021-01-05 02:00:00,A,-3.0,52.7,0.8,0.0,0.0,75.7,-99.0,-2.3,261
2021-01-05 03:00:00,A,-3.2,294.6,0.2,0.0,0.0,74.8,-99.0,-2.4,258
2021-01-05 04:00:00,A,-3.6,306.1,1.5,0.0,0.0,77.2,-99.0,-5.2,258
2021-01-05 05:00:00,A,-4.8,291.8,1.1,0.0,0.0,84.3,-99.0,-6.5,256
2021-01-05 06:00:00,A,-4.7,326.1,1.6,0.0,0.0,78.0,-99.0,-7.3,277
2021-01-05 07:00:00,A,-5.4,321.5,1.8,0.0,0.0,75.6,-99.0,-8.2,311
2021-01-05 08:00:00,A,-6.1,304.0,2.2,0.0,0.0,77.1,0.01,-9.3,346
2021-01-05 09:00:00,A,-6.3,324.3,2.2,0.0,0.0,65.3,0.28,-9.7,365
2021-01-05 10:00:00,A,-5.5,342.0,3.2,0.0,0.0,38.8,0.82,-9.1,353
2021-01-05 11:00:00,A,-4.9,144.5,3.8,0.0,0.0,26.1,1.45,-6.5,338
2021-01-05 12:00:00,A,-4.0,122.6,3.8,0.0,0.0,26.1,1.82,-4.1,329
2021-01-05 13:00:00,A,-4.3,132.5,4.0,0.0,0.0,26.1,1.98,-3.7,334
2021-01-05 14:00:00,A,-4.0,130.0,3.2,0.0,0.0,28.3,1.69,-3.8,316
2021-01-05 15:00:00,A,-4.3,126.8,2.8,0.0,0.0,27.5,0.74,-3.6,303
2021-01-05 16:00:00,A,-4.3,134.1,3.0,0.0,0.0,26.6,1.15,-3.5,286
2021-01-05 17:00:00,A,-5.4,126.9,3.4,0.0,0.0,27.0,0.48,-4.3,285
2021-01-05 18:00:00,A,-6.3,324.1,2.6,0.0,0.0,26.9,0.04,-9.3,309
2021-01-05 19:00:00,A,-6.9,330.9,1.7,0.0,0.0,34.0,-99.0,-9.5,335
2021-01-05 20:00:00,A,-7.5,338.0,2.0,0.0,0.0,35.6,-99.0,-11.2,350
2021-01-05 21:00:00,A,-8.2,327.7,2.0,0.0,0.0,37.8,-99.0,-12.1,356
2021-01-05 22:00:00,A,-9.0,344.3,2.1,0.0,0.0,45.1,-99.0,-12.6,360
2021-01-05 23:00:00,A,-9.8,322.3,1.4,0.0,0.0,49.9,-99.0,-9.0,339
2021-01-06 00:00:00,A,-11.2,13.4,0.5,0.0,0.0,55.1,-99.0,-9.4,312
2021-01-06 01:00:00,A,-10.7,297.6,1.3,0.0,0.0,53.4,-99.0,-13.1,322
2021-01-06 02:00:00,A,-11.7,326.8,0.9,0.0,0.0,57.2,-99.0,-10.3,307
2021-01-06 03:00:00,A,-12.2,300.8,0.9,0.0,0.0,63.9,-99.0,-13.6,309
2021-01-06 04:00:00,A,-12.6,341.8,0.6,0.0,0.0,61.4,-99.0,-10.9,325
2021-01-06 05:00:00,A,-13.0,35.9,0.9,0.0,0.0,65.6,-99.0,-11.4,323
2021-01-06 06:00:00,A,-13.1,33.7,1.0,0.0,0.0,62.9,-99.0,-11.3,325
2021-01-06 07:00:00,A,-12.2,65.2,1.2,0.0,0.0,57.7,-99.0,-11.6,337
2021-01-06 08:00:00,A,-12.3,20.3,0.8,0.0,0.0,60.0,0.0,-11.5,351
2021-01-06 09:00:00,A,-11.2,329.3,0.2,0.0,0.0,58.3,0.32,-10.3,358
2021-01-06 10:00:00,A,-8.3,293.9,0.9,0.0,0.0,44.4,0.84,-8.0,351
2021-01-06 11:00:00,A,-7.7,112.9,3.0,0.0,0.0,40.0,1.5,-6.8,339
2021-01-06 12:00:00,A,-6.5,114.9,2.0,0.0,0.0,30.7,1.89,-5.7,325
2021-01-06 13:00:00,A,-4.8,108.5,1.3,0.0,0.0,23.6,2.04,-4.5,320
2021-01-06 14:00:00,A,-3.6,111.6,1.6,0.0,0.0,22.4,1.95,-3.6,304
2021-01-06 15:00:00,A,-4.0,20.1,1.3,0.0,0.0,20.6,1.64,-2.8,285
2021-01-06 16:00:00,A,-3.6,154.7,1.5,0.0,0.0,18.3,1.13,-4.4,283
2021-01-06 17:00:00,A,-4.3,175.8,2.5,0.0,0.0,21.9,0.44,-6.6,301
2021-01-06 18:00:00,A,-4.1,165.0,2.6,0.0,0.0,22.2,0.03,-7.1,330
2021-01-06 19:00:00,A,-5.6,174.3,3.4,0.0,0.0,65.5,-99.0,-8.9,352
2021-01-06 20:00:00,A,-6.5,137.0,1.9,0.0,0.0,90.5,-99.0,-8.7,367
2021-01-06 21:00:00,A,-5.7,296.4,0.8,0.0,0.0,91.8,-99.0,-4.7,372
2021-01-06 22:00:00,A,-5.2,297.4,2.4,0.5,0.5,70.7,-99.0,-8.1,363
2021-01-06 23:00:00,A,-6.1,134.9,2.9,0.5,0.0,71.7,-99.0,-5.4,344
2021-01-07 00:00:00,A,-9.3,309.7,5.6,1.0,0.5,68.0,-99.0,-15.6,331
2021-01-07 01:00:00,A,-10.6,297.9,4.1,0.0,0.0,71.2,-99.0,-16.0,368
2021-01-07 02:00:00,A,-12.3,325.4,5.0,0.0,0.0,51.7,-99.0,-18.8,342
2021-01-07 03:00:00,A,-13.9,324.2,4.8,0.0,0.0,52.1,-99.0,-20.8,337
2021-01-07 04:00:00,A,-14.9,320.6,4.6,0.0,0.0,57.3,-99.0,-21.4,342
2021-01-07 05:00:00,A,-15.5,305.7,5.1,0.0,0.0,51.0,-99.0,-22.8,345
2021-01-07 06:00:00,A,-16.0,312.8,4.3,0.0,0.0,55.5,-99.0,-23.5,356
2021-01-07 07:00:00,A,-16.6,300.3,4.1,0.0,0.0,52.7,-99.0,-23.8,397
2021-01-07 08:00:00,A,-16.8,309.4,4.3,0.0,0.0,49.9,0.01,-23.9,421
2021-01-07 09:00:00,A,-16.7,303.7,4.4,0.0,0.0,48.6,0.31,-22.9,418
2021-01-07 10:00:00,A,-15.6,302.5,3.6,0.0,0.0,45.8,0.92,-22.6,413
2021-01-07 11:00:00,A,-15.0,319.8,4.3,0.0,0.0,44.7,-99.0,-21.9,394
2021-01-07 12:00:00,A,-14.0,311.0,2.9,0.0,0.0,39.9,-99.0,-20.0,374
2021-01-07 13:00:00,A,-13.2,311.0,3.7,0.0,0.0,38.4,-99.0,-19.5,362
2021-01-07 14:00:00,A,-12.6,291.7,2.9,0.0,0.0,38.3,2.03,-19.1,352
2021-01-07 15:00:00,A,-12.6,290.1,3.1,0.0,0.0,36.4,1.72,-18.9,337
2021-01-07 16:00:00,A,-12.7,288.4,2.7,0.0,0.0,36.5,1.2,-18.3,329
2021-01-07 17:00:00,A,-13.5,303.0,3.7,0.0,0.0,37.4,0.53,-19.6,355
2021-01-07 18:00:00,A,-14.0,310.3,2.3,0.0,0.0,43.7,0.06,-18.4,383
2021-01-07 19:00:00,A,-14.6,313.3,1.4,0.0,0.0,47.1,-99.0,-18.2,393
2021-01-07 20:00:00,A,-14.8,296.5,2.0,0.0,0.0,45.4,-99.0,-18.8,410
2021-01-07 21:00:00,A,-15.3,300.6,2.6,0.0,0.0,49.0,-99.0,-20.5,420
2021-01-07 22:00:00,A,-15.5,311.4,4.6,0.0,0.0,50.4,-99.0,-21.9,416
2021-01-07 23:00:00,A,-15.9,330.7,2.7,0.0,0.0,52.5,-99.0,-21.5,404
2021-01-08 00:00:00,A,-16.5,328.9,2.6,0.0,0.0,48.9,-99.0,-21.1,384
2021-01-08 01:00:00,A,-16.8,321.4,1.8,0.0,0.0,49.5,-99.0,-22.3,357
2021-01-08 02:00:00,A,-17.2,310.2,4.0,0.0,0.0,44.7,-99.0,-23.6,343
2021-01-08 03:00:00,A,-17.4,300.0,2.9,0.0,0.0,42.5,-99.0,-23.8,344
2021-01-08 04:00:00,A,-17.8,304.7,2.4,0.0,0.0,45.4,-99.0,-23.6,355
2021-01-08 05:00:00,A,-18.0,319.5,2.7,0.0,0.0,45.1,-99.0,-24.1,354
2021-01-08 06:00:00,A,-18.2,319.2,3.3,0.0,0.0,44.0,-99.0,-24.5,381
2021-01-08 07:00:00,A,-18.4,312.0,3.1,0.0,0.0,42.1,-99.0,-23.7,396
2021-01-08 08:00:00,A,-18.8,311.5,1.5,0.0,0.0,47.5,0.01,-22.8,420
2021-01-08 09:00:00,A,-18.4,345.8,1.0,0.0,0.0,46.0,0.35,-17.4,424
2021-01-08 10:00:00,A,-16.6,327.0,2.7,0.0,0.0,32.5,0.92,-20.0,418
2021-01-08 11:00:00,A,-14.7,330.5,2.3,0.0,0.0,32.9,1.55,-19.2,410
2021-01-08 12:00:00,A,-13.9,297.7,3.2,0.0,0.0,33.5,1.92,-19.0,407
2021-01-08 13:00:00,A,-12.8,309.8,2.9,0.0,0.0,33.2,2.09,-18.1,390
2021-01-08 14:00:00,A,-11.8,305.8,3.7,0.0,0.0,33.2,2.02,-17.7,381
2021-01-08 15:00:00,A,-11.5,312.1,4.2,0.0,0.0,34.0,1.72,-18.0,364
2021-01-08 16:00:00,A,-12.1,318.1,5.1,0.0,0.0,32.8,1.21,-18.2,354
2021-01-08 17:00:00,A,-12.3,304.2,3.0,0.0,0.0,35.9,0.53,-17.6,362
2021-01-08 18:00:00,A,-13.0,310.1,2.8,0.0,0.0,39.3,0.06,-17.9,388
2021-01-08 19:00:00,A,-13.5,295.6,3.0,0.0,0.0,40.0,-99.0,-19.0,407
2021-01-08 20:00:00,A,-13.9,305.8,2.4,0.0,0.0,46.5,-99.0,-19.2,412
2021-01-08 21:00:00,A,-14.4,296.7,3.6,0.0,0.0,49.8,-99.0,-20.6,412
2021-01-08 22:00:00,A,-15.1,310.6,1.9,0.0,0.0,53.6,-99.0,-19.7,414
2021-01-08 23:00:00,A,-15.6,343.6,1.3,0.0,0.0,55.6,-99.0,-19.8,408
2021-01-09 00:00:00,A,-16.3,346.7,1.1,0.0,0.0,51.5,-99.0,-19.3,398
2021-01-09 01:00:00,A,-15.6,322.0,1.4,0.0,0.0,41.4,-99.0,-19.3,379
2021-01-09 02:00:00,A,-16.3,357.9,0.3,0.0,0.0,43.4,-99.0,-14.9,358
2021-01-09 03:00:00,A,-16.6,318.1,0.3,0.0,0.0,44.3,-99.0,-14.9,353
2021-01-09 04:00:00,A,-17.2,355.4,0.2,0.0,0.0,47.4,-99.0,-15.3,355
2021-01-09 05:00:00,A,-17.3,307.5,0.6,0.0,0.0,49.6,-99.0,-15.5,355
2021-01-09 06:00:00,A,-17.2,359.3,0.9,0.0,0.0,52.1,-99.0,-15.8,352
2021-01-09 07:00:00,A,-17.4,45.5,0.9,0.0,0.0,49.4,-99.0,-15.9,356
2021-01-09 08:00:00,A,-16.9,38.9,0.6,0.0,0.0,46.8,0.0,-15.7,372
2021-01-09 09:00:00,A,-15.0,179.6,0.2,0.0,0.0,44.0,0.32,-14.4,377
2021-01-09 10:00:00,A,-12.6,319.8,1.1,0.0,0.0,34.1,0.85,-12.4,384
2021-01-09 11:00:00,A,-11.1,354.8,1.7,0.0,0.0,32.2,1.27,-10.7,388
2021-01-09 12:00:00,A,-10.0,311.2,3.1,0.0,0.0,32.8,1.82,-14.5,388
2021-01-09 13:00:00,A,-9.0,298.7,2.8,0.0,0.0,33.0,1.99,-14.2,386
2021-01-09 14:00:00,A,-9.4,297.6,4.5,0.0,0.0,34.1,1.97,-14.8,356
2021-01-09 15:00:00,A,-8.5,130.4,2.9,0.0,0.0,35.0,1.65,-10.7,333
2021-01-09 16:00:00,A,-8.7,286.4,3.2,0.0,0.0,35.8,1.15,-13.2,330
2021-01-09 17:00:00,A,-9.4,323.4,3.8,0.0,0.0,38.8,0.51,-14.7,333
2021-01-09 18:00:00,A,-10.1,295.0,2.9,0.0,0.0,41.4,0.06,-14.5,351
2021-01-09 19:00:00,A,-10.5,307.9,3.1,0.0,0.0,41.6,-99.0,-15.5,388
2021-01-09 20:00:00,A,-10.8,320.2,3.7,0.0,0.0,44.8,-99.0,-15.6,395
2021-01-09 21:00:00,A,-11.5,310.4,1.6,0.0,0.0,52.0,-99.0,-15.0,404
2021-01-09 22:00:00,A,-11.8,314.2,1.2,0.0,0.0,52.1,-99.0,-14.6,401
2021-01-09 23:00:00,A,-13.2,352.0,0.7,0.0,0.0,58.1,-99.0,-14.5,389
2021-01-10 00:00:00,A,-13.4,50.5,1.1,0.0,0.0,58.6,-99.0,-11.8,384
2021-01-10 01:00:00,A,-12.5,46.8,1.1,0.0,0.0,51.1,-99.0,-11.9,349
2021-01-10 02:00:00,A,-12.7,186.8,0.1,0.0,0.0,49.5,-99.0,-11.9,346
2021-01-10 03:00:00,A,-13.1,13.6,0.5,0.0,0.0,55.3,-99.0,-12.1,338
2021-01-10 04:00:00,A,-13.0,330.7,0.1,0.0,0.0,51.5,-99.0,-12.6,331
2021-01-10 05:00:00,A,-13.0,337.0,0.4,0.0,0.0,59.3,-99.0,-12.7,331
2021-01-10 06:00:00,A,-13.3,348.4,0.1,0.0,0.0,60.1,-99.0,-12.9,337
2021-01-10 07:00:00,A,-13.2,351.3,0.3,0.0,0.0,64.2,-99.0,-13.1,352
2021-01-10 08:00:00,A,-12.9,44.4,0.5,0.0,0.0,60.0,0.0,-13.1,362
2021-01-10 09:00:00,A,-12.1,360.0,0.0,0.0,0.0,54.8,0.32,-11.9,353
2021-01-10 10:00:00,A,-8.4,342.6,0.9,0.0,0.0,40.7,0.88,-9.1,338
2021-01-10 11:00:00,A,-7.4,127.3,1.5,0.0,0.0,43.5,1.45,-9.7,327
2021-01-10 12:00:00,A,-6.1,179.0,2.1,0.0,0.0,40.9,1.82,-5.7,330
2021-01-10 13:00:00,A,-4.3,166.0,1.2,0.0,0.0,36.4,1.96,-4.3,323
2021-01-10 14:00:00,A,-3.9,330.3,0.8,0.0,0.0,33.3,1.53,-3.6,319
2021-01-10 15:00:00,A,-4.4,150.8,1.4,0.0,0.0,35.8,1.0,-3.4,313
2021-01-10 16:00:00,A,-3.9,108.3,0.8,0.0,0.0,35.7,0.59,-3.2,316
2021-01-10 17:00:00,A,-4.2,7.5,0.6,0.0,0.0,42.9,0.25,-3.7,317
2021-01-10 18:00:00,A,-5.0,118.5,0.5,0.0,0.0,44.5,0.04,-4.0,338
2021-01-10 19:00:00,A,-4.9,133.1,0.8,0.0,0.0,46.8,-99.0,-4.3,378
2021-01-10 20:00:00,A,-5.5,188.2,0.3,0.0,0.0,49.2,-99.0,-4.4,383
2021-01-10 21:00:00,A,-5.9,224.7,0.2,0.0,0.0,52.6,-99.0,-4.6,379
2021-01-10 22:00:00,A,-7.1,79.0,1.0,0.0,0.0,61.0,-99.0,-5.4,370
2021-01-10 23:00:00,A,-7.7,38.6,1.1,0.0,0.0,61.1,-99.0,-6.1,365
2021-01-11 00:00:00,A,-8.2,93.1,0.8,0.0,0.0,67.3,-99.0,-6.5,339
2021-01-11 01:00:00,A,-9.0,89.1,0.8,0.0,0.0,70.0,-99.0,-7.1,357
2021-01-11 02:00:00,A,-9.6,116.2,1.1,0.0,0.0,73.0,-99.0,-7.8,335
2021-01-11 03:00:00,A,-9.9,68.9,0.9,0.0,0.0,70.6,-99.0,-8.6,333
2021-01-11 04:00:00,A,-9.8,76.4,0.9,0.0,0.0,66.3,-99.0,-9.0,341
2021-01-11 05:00:00,A,-10.1,360.0,0.0,0.0,0.0,71.7,-99.0,-9.4,340
2021-01-11 06:00:00,A,-9.9,88.8,0.1,0.0,0.0,71.9,-99.0,-9.5,350
2021-01-11 07:00:00,A,-9.7,68.8,0.6,0.0,0.0,72.2,-99.0,-9.3,384
2021-01-11 08:00:00,A,-9.3,70.0,0.4,0.0,0.0,68.3,0.0,-9.2,405
2021-01-11 09:00:00,A,-8.0,78.2,1.2,0.0,0.0,65.2,0.13,-8.4,405
2021-01-11 10:00:00,A,-7.2,71.7,1.1,0.0,0.0,64.0,0.29,-7.5,396
2021-01-11 11:00:00,A,-6.4,79.1,0.9,0.0,0.0,61.3,0.47,-6.4,388
2021-01-11 12:00:00,A,-6.3,90.6,1.5,0.0,0.0,57.2,0.55,-8.0,384
2021-01-11 13:00:00,A,-5.4,89.9,1.5,0.0,0.0,53.0,0.84,-4.7,381
2021-01-11 14:00:00,A,-4.8,59.4,1.2,0.0,0.0,49.2,0.88,-4.2,359
2021-01-11 15:00:00,A,-4.3,38.1,0.9,0.0,0.0,46.3,0.56,-3.9,340
2021-01-11 16:00:00,A,-4.6,95.2,0.7,0.0,0.0,47.4,0.46,-3.9,341
2021-01-11 17:00:00,A,-4.6,70.6,1.0,0.0,0.0,46.0,0.24,-3.9,341
2021-01-11 18:00:00,A,-6.4,69.3,0.7,0.0,0.0,52.7,0.05,-4.8,357
2021-01-11 19:00:00,A,-6.4,70.2,0.8,0.0,0.0,51.8,-99.0,-4.9,375
2021-01-11 20:00:00,A,-5.9,71.2,0.7,0.0,0.0,49.0,-99.0,-5.2,389
2021-01-11 21:00:00,A,-6.6,66.8,0.7,0.0,0.0,53.4,-99.0,-5.6,385
2021-01-11 22:00:00,A,-6.5,75.5,1.2,0.0,0.0,57.1,-99.0,-6.3,385
2021-01-11 23:00:00,A,-6.7,96.8,1.3,0.0,0.0,59.5,-99.0,-6.3,359
2021-01-12 00:00:00,A,-6.3,73.0,0.7,0.0,0.0,63.4,-99.0,-6.0,348
2021-01-12 01:00:00,A,-7.0,360.0,0.0,0.0,0.0,62.2,-99.0,-6.7,314
2021-01-12 02:00:00,A,-7.2,67.7,1.8,0.0,0.0,65.3,-99.0,-7.5,301
2021-01-12 03:00:00,A,-7.5,68.2,3.0,0.0,0.0,65.8,-99.0,-11.8,300
2021-01-12 04:00:00,A,-8.1,68.8,2.5,0.0,0.0,65.3,-99.0,-11.7,309
2021-01-12 05:00:00,A,-8.2,79.8,1.7,0.0,0.0,65.3,-99.0,-11.5,310
